schema_name;relname;index_name;indisunique
"ab44fl";"ab44fl_aclib_actor";"ab44fl_aclib_role_user_id_block_type_idx";"f"
"ab44fl";"ab44fl_aclib_actor";"ab44fl_aclib_actor_client_id_idx";"f"
"ab44fl";"ab44fl_aclib_actor";"ab44fl_aclib_actor_user_id_idx";"f"
"ab44fl";"ab44fl_aclib_actor_account";"ab44fl_aclib_actor_account_actor_id_idx";"f"
"ab44fl";"ab44fl_aclib_actor_role";"ab44fl_aclib_actor_role_role_id_actor_id_idx";"f"
"ab44fl";"ab44fl_aclib_actor_role";"ab44fl_aclib_actor_role_role_id_idx";"f"
"ab44fl";"ab44fl_aclib_client_master";"ab44fl_aclib_client_id_idx";"f"
"ab44fl";"ab44fl_aclib_permission";"ab44fl_aclib_permission_role_id_idx";"f"
"ab44fl";"ab44fl_blocking_info";"ab44fl_blocking_info_main_idx";"f"
"ab44fl";"ab44fl_blocking_info";"ab44fl_blocking_info_acc_bic_idx";"f"
"ab44fl";"ab44fl_pclib_business_object";"ab44fl_pclib_business_object_sysname_uniq_idx";"t"
"ab44fl";"ab44fl_pclib_business_operation";"ab44fl_pclib_business_operation_sysname_uniq_idx";"t"
"ab44fl";"ab44fl_pclib_business_service";"ab44fl_pclib_business_service_sysname_uniq_idx";"t"
"ac";"ac_aclib_actor";"ac_aclib_actor_user_id_idx";"f"
"ac";"ac_aclib_actor_account";"ac_aclib_actor_account_actor_id_idx";"f"
"ac";"ac_aclib_actor_role";"ac_aclib_actor_role_role_id_idx";"f"
"ac";"ac_aclib_permission";"ac_aclib_permission_role_id_idx";"f"
"ac";"ac_actor";"ac_actor_id_not_need_repl_idx";"f"
"ac";"ac_actor";"ac_actor_id_need_repl_idx";"f"
"ac";"ac_actor_role";"ac_actor_role_role_id_idx";"f"
"ac";"ac_client_clipped_tree_assignment";"ac__client_ct_tree_id_idx";"f"
"ac";"ac_clipped_tree_menu_items";"clipped_tree_menu_items_tree_id_index";"f"
"ac";"ac_clipped_tree_menu_items";"ac_clipped_tree_menu_items_tree_menuitem_uk";"t"
"ac";"ac_clipped_tree_menu_items";"ac_clipped_tree_menu_items_unique";"t"
"ac";"ac_clipped_tree_menu_items";"ac_clipped_tree_menu_items_tree_menuitem_fk";"t"
"ac";"ac_clipped_tree_to_actor";"clipped_tree_to_actor_unique";"t"
"ac";"ac_clipped_tree_to_actor";"clipped_tree_to_actor_tree_id_index";"f"
"ac";"ac_clipped_tree_to_actor";"ac_clipped_tree_actor_tree_actor_uk";"t"
"ac";"ac_menuitem_method";"ac_menuitem_method_bus_meth_idx";"f"
"ac";"ac_menuitem_name";"ac_menuitem_name_menuitem_idx";"f"
"ac";"ac_menuitem_no_access_method";"ac_menuitem_no_access_method_bus_meth_idx";"f"
"ac";"ac_pclib_business_object";"ac_pclib_business_object_sysname_uniq_idx";"t"
"ac";"ac_pclib_business_operation";"ac_pclib_business_operation_sysname_uniq_idx";"t"
"ac";"ac_pclib_business_service";"ac_pclib_business_service_sysname_uniq_idx";"t"
"ac";"ac_role_instance";"ac_role_instance_id_need_repl_idx";"f"
"ac";"ac_role_instance";"ac_role_instance_id_not_need_repl_idx";"f"
"ac";"ac_template_branch";"ac_template_branch_template_idx";"f"
"acc_agreement_migrated";"accagr_aclib_actor";"accagr_aclib_actor_user_id_idx";"f"
"acc_agreement_migrated";"accagr_aclib_actor";"accagr_aclib_actor_client_id_idx";"f"
"acc_agreement_migrated";"accagr_aclib_actor_account";"accagr_aclib_actor_account_actor_id_idx";"f"
"acc_agreement_migrated";"accagr_aclib_actor_role";"accagr_aclib_actor_role_role_id_actor_id_idx";"f"
"acc_agreement_migrated";"accagr_aclib_actor_role";"accagr_aclib_actor_role_role_id_idx";"f"
"acc_agreement_migrated";"accagr_aclib_permission";"accagr_aclib_permission_role_id_idx";"f"
"acc_agreement_migrated";"accagr_pclib_business_object";"accagr_pclib_business_object_sysname_uniq_idx";"t"
"acc_agreement_migrated";"accagr_pclib_business_operation";"accagr_pclib_business_operation_sysname_uniq_idx";"t"
"acc_agreement_migrated";"accagr_pclib_business_service";"accagr_pclib_business_service_sysname_uniq_idx";"t"
"acc_agreement_migrated";"accagr_qrtz_fired_triggers";"accagr_idx_qrtz_ft_trig_inst_name";"f"
"acc_agreement_migrated";"accagr_qrtz_triggers";"accagr_idx_qrtz_t_nft_misfire";"f"
"acc_agreement_migrated";"accagr_qrtz_triggers";"accagr_idx_qrtz_t_state";"f"
"acc_agreement_migrated";"accagr_qrtz_triggers";"accagr_idx_qrtz_t_g";"f"
"account";"acc_account";"account_account_balance_id_idx";"f"
"account";"acc_account";"index_account_number";"f"
"account";"acc_account_balance_cart";"acc_account_balance_cart_id_idx";"f"
"account";"acc_aclib_actor";"acc_aclib_actor_client_id_idx";"f"
"account";"acc_aclib_actor";"acc_aclib_actor_user_id_idx";"f"
"account";"acc_aclib_actor_account";"acc_aclib_actor_account_actor_id_idx";"f"
"account";"acc_aclib_actor_role";"acc_aclib_actor_role_role_id_idx";"f"
"account";"acc_aclib_actor_role";"acc_aclib_actor_role_role_id_actor_id_idx";"f"
"account";"acc_aclib_permission";"acc_aclib_permission_role_id_idx";"f"
"account";"acc_bank_account_client";"bank_account_client_bank_id_idx";"f"
"account";"acc_dclib_qrtz_fired_triggers";"idx_qrtz_ft_trig_inst_name";"f"
"account";"acc_dclib_qrtz_triggers";"idx_qrtz_t_state";"f"
"account";"acc_dclib_qrtz_triggers";"idx_qrtz_t_g";"f"
"account";"acc_dclib_qrtz_triggers";"idx_qrtz_t_nft_misfire";"f"
"account";"acc_palib_channel_map";"acc_palib_IXFK_srv_typ_chnl_srv_typ";"f"
"account";"acc_palib_client_segment_map";"acc_palib_IXFK_srv_typ_clnt_sgmnt_srv_typ";"f"
"account";"acc_palib_client_service_account";"acc_palib_IXFK_clnt_srv_acc_clnt_service";"f"
"account";"acc_palib_client_type_map";"acc_palib_IXFK_srv_typ_clnt_typ";"f"
"account";"acc_palib_external_system_map";"acc_palib_IXFK_srv_typ_ext_sys";"f"
"account";"acc_palib_service_type";"acc_palib_UNQ_srv_typ_sysnm";"t"
"account";"acc_pclib_business_object";"acc_pclib_business_object_sysname_uniq_idx";"t"
"account";"acc_pclib_business_operation";"acc_pclib_business_operation_sysname_uniq_idx";"t"
"account";"acc_pclib_business_service";"acc_pclib_business_service_sysname_uniq_idx";"t"
"account_opening_application";"account_aclib_actor";"account_aclib_actor_user_id_idx";"f"
"account_opening_application";"account_aclib_actor";"account_aclib_actor_client_id_idx";"f"
"account_opening_application";"account_aclib_actor";"account_aclib_role_user_id_block_type_idx";"f"
"account_opening_application";"account_aclib_actor_account";"account_aclib_actor_account_actor_id_idx";"f"
"account_opening_application";"account_aclib_actor_role";"account_aclib_actor_role_role_id_actor_id_idx";"f"
"account_opening_application";"account_aclib_actor_role";"account_aclib_actor_role_role_id_idx";"f"
"account_opening_application";"account_aclib_client_master";"account_aclib_client_id_idx";"f"
"account_opening_application";"account_aclib_permission";"account_aclib_permission_role_id_idx";"f"
"account_opening_application";"account_application";"account_application_uuid_idx";"f"
"account_opening_application";"account_application_activated_models";"account_application_activated_models_application_id_idx";"f"
"account_opening_application";"account_application_product";"application_product_application_idx";"f"
"account_opening_application";"account_batch_doc";"account_batch_doc_batch_id_idx";"f"
"account_opening_application";"account_doc_signer";"account_doc_signer_doc_id_idx";"f"
"account_opening_application";"account_edoc_digest";"account_edoc_digest_uuid_idx";"f"
"account_opening_application";"account_package_item";"account_package_item_package_id_idx";"f"
"account_opening_application";"account_product";"uc_product_id";"t"
"account_opening_application";"qrtz_fired_triggers";"idx_qrtz_ft_trig_inst_name";"f"
"account_opening_application";"qrtz_triggers";"idx_qrtz_t_state";"f"
"account_opening_application";"qrtz_triggers";"idx_qrtz_t_nft_misfire";"f"
"account_opening_application";"qrtz_triggers";"idx_qrtz_t_g";"f"
"account_opening_pf";"aopf_aclib_actor";"aopf_aclib_actor_client_id_idx";"f"
"account_opening_pf";"aopf_aclib_actor";"aopf_aclib_role_user_id_block_type_idx";"f"
"account_opening_pf";"aopf_aclib_actor";"aopf_aclib_actor_user_id_idx";"f"
"account_opening_pf";"aopf_aclib_actor_account";"aopf_aclib_actor_account_actor_id_idx";"f"
"account_opening_pf";"aopf_aclib_actor_role";"aopf_aclib_actor_role_role_id_idx";"f"
"account_opening_pf";"aopf_aclib_actor_role";"aopf_aclib_actor_role_role_id_actor_id_idx";"f"
"account_opening_pf";"aopf_aclib_client_master";"aopf_aclib_client_id_idx";"f"
"account_opening_pf";"aopf_aclib_permission";"aopf_aclib_permission_role_id_idx";"f"
